STT,Câu hỏi,Chương,A,B,C,D,correct_answer
227,"Mục tiêu chính của giai đoạn ""Optimization"" trong vòng đời BPM là gì?",9,Cải thiện và tối ưu hóa quy trình,Xác định các quy trình,Thiết kế quy trình mới,Giám sát và đánh giá hiệu suất,"A, B"
228,Giai đoạn nào trong vòng đời BPM nhằm triển khai các quy trình đã được thiết kế?,9,Thực hiện,Kiểm tra,Xác định,Tối ưu hóa,"A, C"
229,Đâu không phải nền tảng e-commerce,10,Shopee,TIKI,Lazada,phimmoi.net,A
230,Thương mại điện tử là,10,"xnơi diễn ra các giao dịch kinh
 doanh thông qua mạng viễn thông","Nơi diễn ra các giao dịch 
kinh doanh trực tiếp",Nơi mua bán,Nơi đấu giá,A
231,B2C là giao dịch giữa?,10,Doanh nghiệp với doanh nghiệp,Người tiêu dùng với người tiêu dùng,Doanh nghiệp với người  tiêu dùng,Nhà nước với người tiêu dùng,C
232,Đâu không phải khía cạnh của thương mại điện tử,10,Sản phẩm được bán,Quá trình,Đại lý phân phối,Trang chủ bán hàng,D
233,Đâu không phải  1 loại khung thương mại điện tử,10,SaaS,Open Source,Headless Commerce,Shopify,D
234,Khung thương mại điện tử nào không thể tùy chỉnh,10,SaaS,Open Source,Headless Commerce,Không có đáp án đúng,A
235,"Để tương tác với dữ liệu của cửa hàng trên Shopify, API nào được sử dụng phổ biến nhất?",10,REST API,GRAPHQL API,SOAP API,JSON API,B
236,"Để thêm tính năng mới vào một cửa hàng Shopify, nơi tốt nhất để triển khai là:",10,Admin API,Storefront API,Checkout API,Inventory API,B
237,"Để tạo một chủ đề (theme) tùy chỉnh cho Shopify, ngôn ngữ và cú pháp sử dụng chủ yếu là:",10,Liquid,Sass,HTML,Typescript,A
238,"Trong Shopify, để điều chỉnh giao diện người dùng của cửa hàng, người dùng có thể tùy chỉnh trực tiếp thông qua:",10,Store settings,Theme Editor,Code Editor,App Dashboard,B
239,"Để tương tác với các sự kiện trong cửa hàng Shopify, người phát triển có thể sử dụng:",10,Events,Callbacks,Triggers,Webhooks,D
240,Các hệ thống sắp xếp theo thời gian phản hồi theo thứ tự từ nhanh đến lâu,10,PLC - DCS - SCADA - MES - ERP,PLC - DCS - MES - SCADA - ERP,ERP - MES - SCADA - DCS - PLC,ERP - DCS - MES - PLC - SCADA,A
241,Đâu không phải là đặc điểm của hệ thống hỗ trợ ra quyết định (DSS)?,10,DSS không thể giải quyết hiệu quả các vấn đề khó vì sự hạn chế của kiến thức,DSS thường sử dụng các mô hình,DSS tương đối dễ sử dụng,"DSS dẫn đến học tập, dẫn đến nhu cầu mới và sự tinh chỉnh của hệ thống",A
242,Đâu là sự khác nhau giữa DSS và MIS,10,Hệ thống DSS giải quyết các vấn đề bán cấu trúc và phi cấu trúc còn hệ thống MIS giải quyết vấn đề có cấu trúc,"Hệ thống MIS nhấn mạnh vào các mô hình giả định truy vấn đặc biệt đồ thị hiển thị trong khi DSS cung cấp các báo cáo thường cố định, theo lịch trình",Giống nhau chỉ các chức năng,Các phương án đều sai,A
243,Thương mại điện tử được viết tắt là gì,10,X EC,EV,ET,EN,A
244,Đâu không phải là ưu điểm của khung thương mại điện tử  SaaS,10,X SaaS giúp bạn có thể tùy ý tùy chỉnh,"Tổng chi phí sở hữu thường thấp hơn nhiều so với các khung thương mại
nguồn mở hoặc không có đầu người.",SaaS có thể giúp bạn tiếp cận thị trường một cách nhanh chóng.,"Nhà cung cấp có thể đưa ra các bản nâng cấp tính năng theo thời gian thực khi
họ tiếp tục cải tiến phần mềm theo thời gian.",A
245,"Đâu không phải là một mối quan hệ giữa thương mại điện tử và
kinh doanh điện tử",10,X Kinh doanh điện tử là một phần trong thương mại điện tử,Thương mại điện tử ngang bằng với kinh doanh điện tử,Thương mại điện tử là một phần trong kinh doanh điện tử,Thương mại điện tử và kinh doanh điện tử có những phần giống nhau,A
246,Đâu là ý sai về EC,10,X Thương mại điện tử mô tả việc mua và bán các sản phẩm trực tiếp,"Thương mại điện tử (EC) là nơi diễn ra các giao dịch kinh doanh thông
qua mạng viễn thông, đặc biệt là Internet.","Thương mại điện tử mô tả việc mua và bán các sản phẩm, dịch vụ và
thông tin thông qua mạng máy tính bao gồm cả Internet.","Cơ sở hạ tầng cho EC là một môi trường máy tính nối mạng trong kinh
doanh, nhà dânvà chính phủ.",A
247,Đâu không phải là một loại EC,10,X Người tiêu dùng tới doanh nghiệp (C2B) : người tiêu dùng bán cho doanh nghiệp,"Doanh nghiệp với người tiêu dùng (B 2 C): Mô hình EC trong đó các
doanh nghiệp bán cho người mua sắm cá nhân","Doanh nghiệp với doanh nghiệp (B
2 B): Mô hình EC trong đó tất cả
những người tham gia là doanh nghiệp hoặc tổ chức khác","Người tiêu dùng với người tiêu dùng (C 2 C): người tiêu dùng bán trực
tiếp cho người tiêu dùng khác",A
248,Lợi ích của thương mại điện tử (EC) với doanh nghiệp kinh doanh,10,X Mở rộng thị trường ra thị trường trong nước và quốc tế,"X Giảm chi phí tạo, xử lý, phân phối, lưu trữ và truy xuất thông tin trên giấy",Giảm kích thước kho lưu trữ,X Giảm thời gian giữa chi phí vốn và việc nhận sản phẩm và dịch vụ,"A, B, D"
249,Đâu không phải là Phân loại EC theo bản chất của giao dịch,10,B2B,B2C,C2C,X C2B,D
250,Các khía cạnh của thương mại điện tử,10,X Sản phẩm,Con người,X Quá trình,X đại lý phân phối,"A, C, D"
251,Nhược điểm của Khung thương mại điện tử SaaS,10,Chi phí duy trì cao,X Không thể tùy chỉnh,Bảo mật kém,Cạnh tranh cao,B
252,Nhược điểm của  Khung thương mại điện tử nguồn mở.,10,X Phụ thuộc vào nhà phát triển,"X Chịu trách nhiệm cài đặt các bản cập nhật phần mềm và bản vá
bảo mật.",Không thể tuỳ chỉnh,Chi phí bản quyền lớn,"A, B"
253,Ưu điểm của Headless Commerce,10,X Có thể linh hoạt sử dụng giao diện,X Có thể sử dụng back-end hỗ trợ nhiều trang web.,X Backend và FrontEnd có thể phát triển mà không gây rủi ro cho nhau,Thời gian phát triển ngắn,"A, B, C"
254,Các yếu tố cấu thành nên E-business,10,Thương mại điện tử bên mua,Thương mại điện tử phía bán,Sử dụng nội bộ truyền thông điện tử để hỗ trợ các quy trình kinh doanh.,X Tất cả phương án trên đều đúng.,D
255,Thứ tự sắp xếp của 4 giai đoạn chuyển đổi số,10,X Brochureware -> e-Commerce -> e-Business -> E-enterprise,e-Commerce -> e-Business -> E-enterprise -> Brochureware,Brochureware -> e-Commerce  -> E-enterprise -> e-Business,e-Commerce -> e-Business -> Brochureware ->  E-enterprise,A
256,Đâu không phải là Thành phần trong Doanh nghiệp điện tử,10,Hồ sơ và Cá nhân hóa,Quản lý tìm kiếm,Quản lý Dòng công việc,X Quản lý dòng tiền,D
257,Quy trình thanh toán điện tử trong Doanh nghiệp điện tử bao gồm,10,X Quy trình thanh toán điện tử,X Chuyển tiền điện tử,Quy trình thanh toán trực tiếp,Quy trình thanh toán khi nhận hàng,"A, B"
258,Cách thức bảo mật thanh toán điện tử trong Doanh nghiệp điện tử,10,X Mã hóa dữ liệu giữa khách hàng và người bán,X Mã hóa dữ liệu giữa khách hàng và tổ chức tài chính,X Lấy thông tin nhạy cảm ngoài đường dây,Lưu dữ liệu mà không mã hoá,"A, B, C"
259,Các yếu tố thành công thương mại điện tử,10,X Lựa chọn và giá trị,X Quảng cáo và ưu đãi,Tốn ít thời gian phát triển,Dễ chuyển đổi,"A, B"
260,Các thành phần chính của CRM bao gồm?,11,"Dữ liệu, Quy trình, Công nghệ, Con người","Thông tin, Quy trình, Công nghệ, Con người","Thông tin, Quy trình, Công nghệ, Khách hàng","Dữ liệu, Quy trình, Công nghệ, Khách hàng",B
261,Phần mềm nào sau đây không tập trung quản lý dữ liệu khách hàng?,11,CDP,DMP,ECS,CRM,C
262,Data Management Platforms (DMP) tập trung giao tiếp với đối tượng nào?,11,Khách hàng không xác định,Khách hàng đã biết,Quản lý cấp cao,Quản lý cấp trung,A
263,Đâu không phải một thành phần chính của CRM,11,Chiến lược,Quy trình,Công nghệ,Con người,A
264,Lợi ích của CRM,11,Giảm thời gian xử lý lỗi trong giai đoạn maintain,Hiểu rõ hơn về các hoạt động và đơn vị kinh doanh tạo ra giá trị,Tăng cường sự chú ý đến khách hàng bằng các quy trình tương tác với khách hàng,Dịch vụ tốt hơn bằng cách tập trung vào chăm sóc khách hàng,"A, B"
265,DMP là gì,11,Dependent Manifest Platform,Destination Management Platform,Data Management Platform,Direction Multiple Platform,C
266,Lợi ích của DMP,11,Giúp quản lý công việc của doanh nghiệp,Tăng hiệu suất của quá trình kiểm thử,Đưa ra một quy trình thống nhất trong quá trình phát triển sản phẩm,Tạo ra kết quả liên tục,
267,Đâu là nguyên liệu chính cho CRM,11,THông tin,Quy trình,Công nghệ,Con người,A
268,Ưu diểm của CDP so với CRM,11,Xử lý được nhiều loại dữ liệu,Tiết kiệm chi phí,Tiếp cận dễ hơn,,A
269,CDP là viết tắt của ?,11,Customer Data Platforms,Custormer Detail Platform,Center Data Platform,Center Detail Platform,A
270,Chọn phát biểu đúng về CRM,11,Yêu cầu bảo trì thủ công và không dễ dàng mở rộng cho cá nhân hoá nội dung.,"Mục đích sử dụng chính là dữ liệu của bên thứ nhất, dựa trên danh tính khách hàng thực như PII",Sử dụng chính vào việc tổng hợp và tổ chức dữ liệu của bên thứ 2 và thứ 3 thứ 1,Không đáp án nào đúng,A
271,Đâu không phải là giải pháp của CRM?,11,Bảo mật thông tin,Tự động hóa lực lượng khách hàng,Hỗ trợ khách hàng,Cộng tác,A
272,Đâu không phải là thành phần tĩnh cầu thành chiến lược CNTT?,11,Operating Structure,Staffing And Roles,IT Function Structure,Operating Model,A
273,Chọn phát biểu không đúng về KDD (Knowledge discovery in databases),11,"Qúa trình tìm kiếm, lấy ra  thông tin hoặc mối quan hệ đã biết trong các cơ sở dữ liệu lớn","Bao gồm các nhiệm vụ : khai thác kiến thức, thăm dò dữ liệu, xử lý mẫu dữ liệu","Là một quá trình được sử dụng để tìm kiếm, trích xuất thông tin hữu ích từ khối lượng tài liệu, dữ liệu","Một quá trình bao gồm việc chuẩn bị dữ liệu và lựa chọn, làm sạch dữ liệu, kết hợp kiến ​​thức trước khi vào tập hợp dữ liệu và giải thích các giải pháp chính xác từ các kết quả quan sát được.","A, B, C, D"
274,Đâu là mục tiêu chính của AIS?,11,Làm cho máy móc thông minh hơn,Hiểu trí thông minh là gì,Làm cho máy móc hữu ích hơn,Làm cho giải pháp thông minh hơn,A
275,Đâu không phải là một loại khung thương mại điện tử,11,X  BaaS,SaaS.,Open source.,Headless commerce,A
276,Đâu là ý sai về CRM,11,X Giúp quản lý hàng tồn,Tập trung vào tác động chiến lược hơn là tác động đến hoạt động,Lợi ích nói chung là dài hạn hơn là ngay lập tức,"Yêu cầu hiểu rằng lợi ích sẽ thực sự xảy ra và đặt ra những kỳ vọng
thực tế","A, D"
277,Đâu là đặc điểm về CRM Xuất sắc,11,X Hiểu rõ ràng về giá trị hiện tại và tiềm năng của khách hàng,"Định nghĩa khách hàng tồn tại,
nhưng không có sự đồng thuận
trong toàn tổ chức","Giá trị hiện tại được hiểu
nhưng giá trị tương lai không
được xem xét tích cực","Kiến thức về sở thích của
khách hàng tồn tại nhưng được
giữ trong silo","A, C"
278,Đâu là đặc điểm về CRM Trung Bình,11,"X Thông tin
có liên quan nhưng
không đầy đủ","Không có định nghĩa rõ ràng về
khách hàng","Giá trị khách hàng không đo
lường được","Không đánh giá cao mong
muốn và mong đợi của khách
hàng",A
279,Đâu là đặc điểm về CRM Yếu,11,"X Dữ liệu không thể
có và được tổ
chức ở các địa điểm khác nhau","Định nghĩa khách hàng đã
thống nhất toàn tổ chức và liên quan
đến chiến lược hiện tại cũng nhưtương lai","Khả năng ghi nhớ và nhận ra khách hàng và điều chỉnh sản
phẩm của bạn theo sở thích của họ",Hiểu rõ ràng về giá trị hiện tại và tiềm năng của khách hàng,A
280,Đâu không phải là một thành phần của CRM,11,X Sản phẩm,Thông tin,Công nghệ,Con người,A
281,Đâu không phải  là một trở ngại trong thành công của CRM,11,X Ít khách hàng,Vấn đề tích hợp,Không có chiến lược dài hạn,Dữ liệu không chính xác,"A, D"
282,DMP là viết tắt của từ gì,11,"XData  Management
Platform","Document Management
Platform","Data  Management
Process","Document  Management
Process",A
283,Đâu không phải Lợi ích của Data Management Platform,11,X Tăng trưởng doanh thu,DMPs Giúp Hợp nhất Dữ liệu Khách hàng,Giúp thương hiệu thu hút được đối tượng mục tiêu,"Hợp lý hóa Quy trình Quản lý Dữ liệu
•",A
284,CPD là viết tắt của từ gì,11,X Customer Data Platform,Customer Data Process,Customer Data Procedure,Customer Data Preparation,A
285,Ý nào sau đây là sai,11,"X DMP được xây dựng để tìm
kiếm mặt hàng tiềm năng,","DMP được xây dựng để tìm
kiếm khách hàng tiềm năng,","CRM được xây dựng để quản
lý và nuôi dưỡng khách hàng
và","CDP giúp thu hút và cá nhân
hóa tất cả các giai đoạn của trải
nghiệm khách hàng","A, B, C"
286,Đâu không phải là thành phần của CDP Data Flow,11,X Preparation,Data,Unification,Segmentation,A
287,Đâu là nguyên liệu chính cho CRM,11,THông tin,Quy trình,Công nghệ,Con người,A
288,Ưu diểm của CDP so với CRM,11,Xử lý được nhiều loại dữ liệu,Tiết kiệm chi phí,Tiếp cận dễ hơn,????,A
289,"Thuật ngữ ""hàng tồn kho"" có thể bao gồm những gì?",12,nguyên liệu thô,công việc trong quá trình,thành phẩm,sản phẩm mẫu,"A, B, C"
290,Mục đích của việc xác định các chỉ tiêu trước trong kiểm soát hàng tồn kho là gì?,12,Đảm bảo mức tồn kho an toàn,Giảm sự linh hoạt của quy trình,Tăng mức tối đa hàng tồn kho,Loại bỏ mức đặt hàng,A
291,Hàng tồn kho chiếm tỷ trọng lớn trong doanh nghiệp ở mức nào?,12,40%-50%,10%-20%,20%-30%,30%-40%,A
292,Tồn kho đóng vai trò gì trong quan hệ giữa sản xuất và tiêu thụ?,12,Là cầu nối giữa sản xuất và tiêu thụ,Giảm mức tồn kho để tiết kiệm chi phí,Làm tăng mức tồn kho để nhanh chóng đáp ứng nhu cầu của khách hàng,Loại bỏ mức tồn kho để tối ưu hóa quy trình sản xuất,"A, D"
293,Tại sao hàng tồn kho được coi là tài sản hiện tại trong kế toán?,12,Vì công ty thường có ý định bán nó trong một khoảng thời gian ngắn,Vì nó là tài sản duy nhất của công ty,Vì công ty đánh giá giá trị theo thị trường,Vì công ty thường có ý định bán nó trong một khoảng thời gian dài,A
294,Hàng tồn kho được hạch toán bằng những phương pháp nào?,12,tính giá nhập trước xuất trước (FIFO),tính giá nhập sau xuất trước (LIFO),tính chi phí bình quân gia quyền,FIFO và LIFO,"A, B, C"
295,Hệ thống kiểm kê định kỳ dựa vào điều gì?,12,Số lượng hàng tồn kho thực tế,Giá trị hàng tồn kho,Giá trị thị trường của hàng tồn kho,Tình trạng kỹ thuật của hàng tồn kho,A
296,"Khi tiến hành đếm vật lý trong hệ thống kiểm kê định kỳ, thông tin hàng tồn kho được cập nhật như thế nào?",12,Cập nhật định kỳ,Không cập nhật,Cập nhật chỉ khi có sự thay đổi,Cập nhật liên tục,A
297,Công thức nào thường được sử dụng trong kiểm kê định kỳ?,12,COGS = (Hàng tồn kho đầu kỳ + Số hàng mua) - Hàng tồn kho cuối kỳ,COGS = (Hàng tồn kho cuối kỳ - Hàng tồn kho đầu kỳ) + Số hàng mua,COGS = Hàng tồn kho cuối kỳ - Hàng tồn kho đầu kỳ - Số hàng mua,COGS = Hàng tồn kho đầu kỳ + Hàng tồn kho cuối kỳ + Số hàng mua,A
298,Khả năng hiển thị theo thời gian thực trong chuỗi cung ứng được thực hiện bằng cách sử dụng những công nghệ nào?,12,"Tự động hóa, cảm biến và phân tích",Máy tính và máy in,Đèn LED và loa thông báo,Máy quét mã vạch và điện thoại di động,A
299,EOQ đảm bảo điều gì đối với hàng tồn kho?,12,Đảm bảo hàng tồn kho đáp ứng nhu cầu và giảm thiểu chi phí lưu giữ và lưu kho,Tăng chi phí lưu giữ và lưu kho,Giảm chi phí lưu giữ và lưu kho nhưng không đảm bảo hàng tồn kho đáp ứng nhu cầu,Không có ảnh hưởng gì đối với chi phí lưu giữ và lưu kho,A
300,Hệ thống quản lý hàng tồn kho (IMS) theo dõi điều gì?,12,Tất cả các hàng hóa trong mỗi kho và các tài liệu mà kho lưu trữ nó,Tất cả hàng tồn kho trên tất cả các địa điểm,Vị trí của từng loại hàng tồn kho trong kho,Tất cả các loại hàng tồn kho ở mọi vị trí,A
301,Hệ thống quản lý kho (WMS) theo dõi điều gì?,12,Vị trí của từng loại hàng tồn kho trong kho,Tất cả hàng tồn kho trên tất cả các địa điểm,Tất cả các hàng hóa trong mỗi kho và các tài liệu mà kho lưu trữ nó,Tất cả các loại hàng tồn kho ở mọi vị trí,A
302,Hệ thống quản lý hàng tồn kho (IMS) và hệ thống quản lý kho (WMS) thường làm việc như thế nào?,12,Làm việc cùng nhau,"Làm việc độc lập, không tương tác",cái này thực hiện thì cái kia dừng,không liên quan đến nhau,A
303,Khi nào thì IMS và VMS bắt đầu khác nhau,12,Tại cấp độ nâng cao hơn,Tại các tính năng phân tích chi phí vật liệu tiêu thụ,Tại việc di chuyển hiệu quả vật liệu trong chính kho,Tại các tính năng giám sát thời gian thực,A
304,Quy trình quản lý kho hàng hóa là gì?,12,Một chuỗi công việc theo dõi và kiểm soát hàng hóa trong kho,Một danh sách hàng hóa trong kho,Một bảng cân đối kế toán hàng tồn kho,Một báo cáo doanh số bán hàng của kho,A
305,Mục đích chính của quy trình quản lý kho là gì?,12,Giúp người thực hiện công việc quản lý kho nắm bắt được các bước cần tiến hành và nhiệm vụ từng bước,Tạo bảng cân đối kế toán hàng tồn kho,Tăng doanh số bán hàng,Đảm bảo mọi người đều biết danh sách hàng hóa trong kho,A
306,WMS là viết tắt của khái niệm gì?,12,Hệ thống quản lý hàng tồn kho,Hàng tồn kho,Hệ thống quản lý kho,Kho hàng,C
307,Quy trình quản lý kho hàng hoá bao gồm bao nhiêu bước?,12,5,6,7,8,C
308,Đâu là các nền tảng cho phép các doanh nghiệp xây dựng các ERP theo lĩnh vực của mình,12,Shopify,Odoo,SAP,PowerBI,"A, B, C"
309,Quy trình quản lý kho tuân theo thứ nào,12,X Nhập kho ->  Lưu kho -> Nhặt hàng -> Đóng gói và xuất kho -> Hoàn hàng -> Kiểm hàng -> Thống kê báo cáo,Nhập kho -> Kiểm hàng -> Hoàn hàng -> Lưu kho -> Nhặt hàng -> Đóng gói và xuất kho -> Thống kê báo cáo,Nhập kho ->  Lưu kho -> Nhặt hàng -> Đóng gói và xuất kho -> Kiểm hàng -> Hoàn hàng ->  Thống kê báo cáo,Nhập kho -> Kiểm hàng -> Hoàn hàng ->  Lưu kho -> Nhặt hàng -> Đóng gói và xuất kho -> Kiểm hàng -> Hoàn hàng ->  Thống kê báo cáo,"A, B, C, D"
310,Đóng gói và xuất kho cần đáp ứng mục đích nào,12,X Đảm bảo an toàn cho hàng hoá trong quá trình vận chuyển,X Tối ưu khối lượng của hàng hóa,Tăng tính thẩm mĩ cho hàng hoá,Tăng khối lượng,"A, B"
311,Một số loại báo cáo kho cần thiết,12,X Sổ kho,X Báo cáo vượt/dưới định mức,X Báo cáo kiểm hàng,Báo cáo nhà phân phối,"A, B, C"
312,Đâu không phải là Mức độ phức tạp WMS,12,A basic WMS,An advanced WMS,A controlled WMS,X An infinitive WMS,D
313,Lợi ích của hệ thống quản lý kho,12,"X Giảm lãng phí, Tối ưu hóa quy trình kho",X Giảm lỗi của con người,Theo dõi kiểm soát chất lượng hàng hoá nhập kho,X Tăng tính linh hoạt,"A, B, D"
314,Định nghĩa nào sau đây là sai về Enterprise Architecture?,3.1,EA là một bản thiết kế khái niệm xác định cấu trúc và hoạt động của các tổ chức doanh nghiệp,XEA chỉ liên quan đến việc xây dựng và duy trì hạ tầng công nghệ của doanh nghiệp.,"EA là một phương pháp hỗ trợ quá trình quản lý và phát triển toàn diện, chú trọng vào cả hệ thống và quá trình kinh doanh.",Mục tiêu của EA là tối ưu hóa hiệu suất tổng thể của doanh nghiệp và đảm bảo rằng hệ thống công nghệ hỗ trợ đáp ứng các mục tiêu chiến lược.,"A, B"
315,Định nghĩa nào sau đây là đúng về Business Domain?,3.1,Miền kinh doanh chủ yếu tập trung vào quy trình thiết kế kiến trúc và phát triển công nghệ cho doanh nghiệp.,"XMiền kinh doanh định nghĩa về cấu trúc và hành vi của chức năng kinh doanh, cung cấp sự hiểu biết chung và xác định động lực, chiến lược, mô hình kinh doanh và mục tiêu của tổ chức.",Miền kinh doanh chỉ liên quan đến cấu trúc tổ chức và hành vi của con người trong doanh nghiệp.,Miền kinh doanh là nền tảng để triển khai thiết kế kiến trúc doanh nghiệp.,B
316,"TOGAF dựa trên bốn lĩnh vực chuyên môn có liên quan với nhau, chúng là gì?",3.1,"Kiến trúc kinh doanh, Kiến trúc dữ liệu hoặc thông tin, Kiến trúc ứng dụng, Kiến trúc công trình","XKiến trúc kinh doanh, Kiến trúc dữ liệu hoặc thông tin, Kiến trúc ứng dụng, Kiến trúc công nghệ","Kiến trúc kinh doanh, Kiến trúc dữ liệu hoặc thông tin, Kiến trúc dịch vụ, Kiến trúc công nghệ","Kiến trúc kinh doanh, Kiến trúc dữ liệu hoặc thông tin, Kiến trúc ứng dụng, Kiến trúc công nghệ",B
317,"Kiến trúc doanh nghiệp (EA) có thể được định nghĩa là một bộ tâp hợp các tài liệu đặc biệt (artifacts), các artifacts có tác dụng gì?",3.1,"XMô tả về một tổ chức từ các khía cạnh 
khác nhau, quan trọng đối với các tác nhân khác nhau liên quan đến 
việc ra quyết định chiến lược và triển khai các hệ thống CNTT",Mô tả về một tổ chức từ các khía cạnh CNTT để đảm bảo kiến trúc của tổ chức,Mô tả về một tổ chức từ các khía cạnh kinh doanh để đảm bảo luồng nghiệp vụ của tổ chức,"Hỗ trợ các cuộc thảo luận giúp giảm bớt các vấn đề giao tiếp do kiến thức, sở thích và mục tiêu khác nhau của các tác nhân liên quan khác nhau",A
318,Loại tài liệu nào sau đây không phải là EA artifacts?,3.1,XBusiness Reference Models,Roadmaps,Solution Overviews,Landscape Designs,A
319,Đâu là một trong những yếu tố chính cần xem xét khi thiết kế kiến trúc của một hệ thống doanh nghiệp?,3.1,Thời gian phản hồi của người dùng,Chi phí phát triển ban đầu,Quản lý dự án hiệu quả,Sức mạnh xử lý của máy chủ,"A, D"
320,"Trong việc xác định kiến trúc hệ thống, khái niệm nào mô tả sự chia nhỏ của hệ thống thành các thành phần nhỏ hơn để dễ dàng quản lý?",3.1,Modularization (Modular hóa),Abstraction (Trừu tượng hóa),Decentralization (Phân tán),Homogenization (Đồng nhất hóa),A
321,"Theo kiến thức về kiến trúc doanh nghiệp, điều gì làm nên một kiến trúc hệ thống thành công?",3.1,Sự linh hoạt và mở rộng,Sự tối ưu hóa chi phí,Sự đồng nhất của công nghệ,Sự tập trung vào giao diện người dùng,A
322,Enterprise Architecture (EA) là gì?,3.1,Công nghệ thông tin trong doanh nghiệp,Phương pháp quản lý tổng thể của doanh nghiệp,Thiết kế các ứng dụng di động,Tất cả các phương án trên,B
323,Lợi ích chính của việc triển khai Kiến trúc Doanh nghiệp(EA) là gì?,3.1,Tăng cường tính linh hoạt và khả năng đổi mới,Giảm chi phí và tăng hiệu quả,Cả hai A và B,Không có lợi ích gì đặc biệt,C
324,Có bao nhiêu lĩnh vực kiến trúc domain of EA được chính thức đề xuất,3.1,4,3,2,1,
325,Đâu không phải là 1 EA framework ?,3.1,BADAF,TOGAF,MODAF,Zachman,A
326,Đâu không phải là miền kiến trúc của TOGAF,3.1,Software Architecture,Business Architeture,Data Architecture,TechnologyArchitec,A
327,"Trong TOGAF , một ví dụ về artifacts là gì",3.1,Architecture vision document,UML,Scrum Board,SQL,A
328,Phát biểu nào sau đây là đúng về hệ thống thông tin (HTTT) và công nghệ thông tin (CNTT) trong doanh nghiệp?,4.1,CNTT là một phần của HTTT,CNTT bao gồm phần cứng và phần mềm,HTTT là một phần của CNTT,"CNTT bao gồm phần cứng, phần mềm và con người","A, B"
329,Hệ điều hành Windows là một ví dụ về thành phần nào của hệ thống thông tin?,4.1,Phần cứng,Phần mềm,Dữ liệu,Thủ tục,B
330,Vai trò của Kiến trúc ứng dụng trong hệ thống thông tin là?,4.1,Mô tả cấu trúc các ứng dụng,Định nghĩa dữ liệu của doanh nghiệp,Xác định cơ sở hạ tầng công nghệ,Tạo bản đồ quan hệ giữa các thực thể,"A, C"
331,Tại sao Kiến trúc Hệ thống thông tin ISA được xem là thuận lợi cho việc chia sẻ thông tin đơn vị kinh doanh trong tổ chức?,4.1,"Vì các mô hình được phát triển từ 
quan điểm toàn doanh nghiệp","Dễ dàng tích hợp dữ liệu 
của công ty vào môi trường hệ thống","Cung cấp “ lộ trình ” phân tích , thiết kế và thực hiện","Thông qua  Mô hình Dữ liệu Doanh nghiệp đánh giá hoạt động hiện có
và lập kế hoạch tái thiết kế thành dữ liệu cấu trúc tích hợp",A
332,Hệ thống thông tin (IS) đóng vai trò quan trọng trong việc nào sau đây?,4.1,Cung cấp thông tin để hỗ trợ quản lý và ra quyết định kinh doanh,Chỉ cung cấp dịch vụ cho khách hàng,Chỉ hỗ trợ quản lý nguồn nhân lực,Chỉ thu thập dữ liệu từ một nguồn duy nhất,A
333,Các thành phần cơ bản của hệ thống thông tin (IS) bao gồm những gì?,4.1,"Cơ sở dữ liệu, phần mềm ứng dụng, phần cứng máy tính, người sử dụng và quy trình",Chỉ người sử dụng,Chỉ cơ sở dữ liệu,Chỉ phần mềm ứng dụng,A
334,Kiến trúc ứng dụng là gì?,4.1,Một bản thiết kế cung cấp hướng dẫn về cách các thành phần phần mềm kết hợp với nhau,Một loại phần mềm chỉ có thể chạy trên thiết bị di động,Chỉ mô tả về việc sử dụng các ứng dụng web,Đơn giản là giao diện người dùng của các ứng dụng,A
335,Mục tiêu chính của kiến trúc ứng dụng là gì?,4.1,Hỗ trợ mô tả cách các thành phần phần mềm liên kết và hoạt động cùng nhau để đáp ứng mục tiêu kinh doanh,Đơn giản là tạo ra các ứng dụng có giao diện đẹp,Chỉ xác định ngôn ngữ lập trình sẽ được sử dụng,Chỉ tối ưu hóa hiệu suất phần cứng,"A, C"
336,Các yếu tố quan trọng trong kiến trúc ứng dụng bao gồm:,4.1,"Tính linh hoạt, hiệu suất, bảo mật, tính mô-đun và tương tác người dùng",Chỉ tính linh hoạt,Chỉ hiệu suất cao,Chỉ tốc độ xử lý nhanh,"A, D"
337,Đâu không phải nhược điểm của hệ thống ERP?,8.1,Chi phí chuyển đổi dữ liệu,Không cần đào tạo,Bảo trì,Chi phí hệ thống,B
338,Đâu là phân loại e-commerce theo bản chất của giao dịch?,10.1,Doanh nghiệp với doanh nghiệp (B2B),Doanh nghiệp với người tiêu dùng (B2C),Người tiêu dùng với người tiêu dùng (C2C),Tất cả phương án trên,D
339,Đâu không phải là một nền tảng tương mại điện tử?,10.1,SaaS,Bigcommerce,Shopify,Magento,A
340,Các bước triển khai EA nào sau đây là đúng?,3.2,XKhởi tạo => Hiện trạng => Phát triển kiến trúc mục tiêu => Kế hoạch chuyển đổi kiến trúc => Kế hoạch thực hiện,Khởi tạo => Hiện trạng => Phát triển kiến trúc mục tiêu => Kế hoạch thực hiện,Khởi tạo => Phát triển kiến trúc mục tiêu => Kế hoạch chuyển đổi kiến trúc => Kế hoạch thực hiện,Khởi tạo => Hiện trạng => Phát triển kiến trúc mục tiêu  => Kế hoạch thực hiện => Kế hoạch chuyển đổi kiến trúc,A
